Nafn,ID,Starfsheiti,Sveitarfelag,Fornafn,Eftirnafn,Heimasimi,Vinnusimi,Farsimi,Notendanafn,Deild
Gudjon Sigurdsson,9486,formadur MND felagsins,Hafnarfirdi,Gudjon,Sigurdsson,+354 555-4209,+354 567-8058,+354 867-2990,GudSig,Framleidsludeild
Gudjon Ingvi Stefansson,8386,verkfraedingur,Reykjavik,Gudjon Ingvi,Stefansson,+354 555-3742,+354 567-9078,+354 867-9889,GudSte,Framleidsludeild
Gudlaug Kristjansdottir,6373,sjukratjalfari formadur BHM,Hafnarfirdi,Gudlaug,Kristjansdottir,+354 555-5562,+354 567-9021,+354 867-1506,GudKri,Framleidsludeild
Gudlaugur Orri Gislason,7803,stjornmalafraedingur,Svf. olfusi,Gudlaugur Orri,Gislason,+354 555-3772,+354 567-9359,+354 867-1066,GudOGis,Framleidsludeild
Gudmar Ragnar Stefansson,2985,jarnsmidur smidur,Fljotsdalsheradi,Gudmar Ragnar,Stefansson,+354 555-6734,+354 567-9429,+354 867-3992,GudRSte,Framleidsludeild
Gudmundur agustsson,9629,logmadur,Reykjavik,Gudmundur,agustsson,+354 555-5971,+354 567-9714,+354 867-5997,Gudagu,Framleidsludeild
Gudmundur arnason,4734,hotelrekstrarfraedingur,Akureyri,Gudmundur,arnason,+354 555-5166,+354 567-8793,+354 867-5335,Gudarn,Framleidsludeild
Gudmundur B. Fridriksson,6065,skrifstofustjori,Reykjavik,Gudmundur B.,Fridriksson,+354 555-9701,+354 567-9491,+354 867-6893,GudFri,Framleidsludeild
Gudmundur Gislason,7792,verkefnastjori,Seltjarnarnesi,Gudmundur,Gislason,+354 555-4193,+354 567-8068,+354 867-1852,GudGis,Framleidsludeild
Gudmundur Gudlaugsson,8892,fv. sveitarstjori,Svf. Skagafirdi,Gudmundur,Gudlaugsson,+354 555-4905,+354 567-9918,+354 867-1383,GudGud,Framleidsludeild
Gudmundur Runar Gudlaugsson,8045,rekstrarfraedingur,Reykjavik,Gudmundur Runar,Gudlaugsson,+354 555-3544,+354 567-9867,+354 867-2077,GudRGud,Framleidsludeild
Gudmundur Gunnarsson,7825,formadur Rafidnadarsambands islands,Reykjavik,Gudmundur,Gunnarsson,+354 555-3002,+354 567-9259,+354 867-6987,GudGun,Framleidsludeild
Gudmundur S. Johnsen,6439,framkvaemdastjori,Gardabae,Gudmundur S.,Johnsen,+354 555-5208,+354 567-8306,+354 867-7299,GudJoh,Framleidsludeild
Gudmundur Jonsson,4778,bondi,Mosfellsbae,Gudmundur,Jonsson,+354 555-8272,+354 567-9821,+354 867-9877,GudJon,Framleidsludeild
Gudmundur R Ludviksson,5229,myndlistarmadur,Reykjanesbae,Gudmundur R,Ludviksson,+354 555-4121,+354 567-8127,+354 867-8761,GudLud,Framleidsludeild
Gudmundur Vignir oskarsson,7913,verkefnastjori framkvaemda- og eignasvids Reykjavikurborgar,Reykjavik,Gudmundur Vignir,oskarsson,+354 555-1207,+354 567-9965,+354 867-9670,Gudosk,Framleidsludeild
Gudmundur Palsson,2391,heimilislaeknir,Reykjavik,Gudmundur,Palsson,+354 555-1752,+354 567-9700,+354 867-3316,GudPal,Framleidsludeild
Gudmundur orn Ragnarsson,3326,kerfisfraedingur,Seltjarnarnesi,Gudmundur orn,Ragnarsson,+354 555-3641,+354 567-9284,+354 867-7071,GudRag,Framleidsludeild
Gudni Karl Hardarson,7396,oryggisvordur i Mjodd,Reykjavik,Gudni Karl,Hardarson,+354 555-8771,+354 567-9496,+354 867-6680,GudHar,Framleidsludeild
Gudrun Gudlaugsdottir,8837,bladamadur ritofundur,Kopavogi,Gudrun,Gudlaugsdottir,+354 555-8781,+354 567-9081,+354 867-6815,GudrGudl,Framleidsludeild
Gudrun Helgadottir,2721,haskolakennari,Svf. Skagafirdi,Gudrun,Helgadottir,+354 555-5388,+354 567-8489,+354 867-4838,GudHel,Framleidsludeild
Gudrun Hognadottir,6219,framkvaemdastjori Opna haskolans i HR,Gardabae,Gudrun,Hognadottir,+354 555-7093,+354 567-9290,+354 867-6522,GudHog,Framleidsludeild
Gudrun Bryndis Karlsdottir,4052,M.Sc. nemi i verkfraedi radgjafarstorf,Reykjavik,Gudrun Bryndis,Karlsdottir,+354 555-8336,+354 567-8347,+354 867-8318,GudKar,Framleidsludeild
Gudrun Lilja Magnusdottir,2138,meistaranemi,Reykjavik,Gudrun Lilja,Magnusdottir,+354 555-9666,+354 567-8377,+354 867-6578,GudMag,Framleidsludeild
Gunnar Grimsson,5878,vidmotshonnudur,Reykjavik,Gunnar,Grimsson,+354 555-8834,+354 567-8267,+354 867-7445,GunGri,Framleidsludeild
Gunnar tor Gunnarsson,9882,atvinnurekandi,Reykjavik,Gunnar tor,Gunnarsson,+354 555-3621,+354 567-9849,+354 867-8029,GunGun,Framleidsludeild
Gunnar olafsson,5207,loggiltur fasteignasali,Reykjavik,Gunnar,olafsson,+354 555-6112,+354 567-9385,+354 867-8991,Gunola,Framleidsludeild
Gunnar Jon olafsson,3458,slokkvilids- og sjukraflutningsmadur,Reykjanesbae,Gunnar Jon,olafsson,+354 555-9188,+354 567-9864,+354 867-1833,GunJola,Framleidsludeild
Gunnar Hersveinn Sigursteinsson,6527,ritofundur,Reykjavik,Gunnar Hersveinn,Sigursteinsson,+354 555-5957,+354 567-9731,+354 867-7335,GunSig,Framleidsludeild
Gunnar orn Stefansson,7781,forritari,Reykjavik,Gunnar orn,Stefansson,+354 555-8960,+354 567-8551,+354 867-9231,GunSte,Framleidsludeild
Gunnar tordarson,3656,radgjafi,isafjardarbae,Gunnar,tordarson,+354 555-9971,+354 567-9578,+354 867-7310,Guntor,Framleidsludeild
Gunnlaugur olafsson Johnson,5306,arkitekt,Mosfellsbae,Gunnlaugur olafsson,Johnson,+354 555-4590,+354 567-9986,+354 867-6704,GunJoh,Framleidsludeild
Guttormur torsteinsson,2677,nemi,Reykjavik,Guttormur,torsteinsson,+354 555-8659,+354 567-9730,+354 867-1923,Guttor,Framleidsludeild
Gylfi Gardarsson,6626,skrifstofumadur,Reykjavik,Gylfi,Gardarsson,+354 555-4296,+354 567-8980,+354 867-6802,GylGar,Framleidsludeild
Halla Bjorg Evans,4305,logfraedingur,Kopavogi,Halla Bjorg,Evans,+354 555-4241,+354 567-9503,+354 867-3450,HalEva,Framleidsludeild
Halla Margret Johannesdottir,5163,leikari,Reykjavik,Halla Margret,Johannesdottir,+354 555-9869,+354 567-8164,+354 867-2815,HalJoh,Framleidsludeild
Halldor torkell Gudjonsson,4294,eftirlaunategi,Reykjavik,Halldor torkell,Gudjonsson,+354 555-8809,+354 567-8862,+354 867-7045,HalGud,Framleidsludeild
Halldor Gretar Gunnarsson,6318,islendingur,Hafnarfirdi,Halldor Gretar,Gunnarsson,+354 555-7836,+354 567-8500,+354 867-9481,HalGun,Framleidsludeild
Halldor Jonsson,5097,verkfraedingur,Kopavogi,Halldor,Jonsson,+354 555-2904,+354 567-9038,+354 867-9966,HalJon,Framleidsludeild
Halldor Nikulas Larusson,7539,verkefnisstjori,Gardabae,Halldor Nikulas,Larusson,+354 555-8761,+354 567-9844,+354 867-3853,HalLar,Framleidsludeild
Halldora Adalsteinsdottir,7429,logfraedingur,Reykjanesbae,Halldora,Adalsteinsdottir,+354 555-4827,+354 567-9499,+354 867-3046,HalAda,Framleidsludeild
Halldora Gudrun Hinriksdottir,3942,forstodumadur,Hafnarfirdi,Halldora Gudrun,Hinriksdottir,+354 555-5855,+354 567-8903,+354 867-2478,HalHin,Framleidsludeild
Halldora Kristin toroddsen,9673,kennari ritofundur,Reykjavik,Halldora Kristin,toroddsen,+354 555-1615,+354 567-8004,+354 867-3625,Halto,Framleidsludeild
Hallur Magnusson,9541,sjalfstaedur radgjafi,Reykjavik,Hallur,Magnusson,+354 555-9430,+354 567-9287,+354 867-3855,HalMag,Framleidsludeild
Hannes Pall Palsson,9508,honnudur og framleidandi hja Sagafilm,Reykjavik,Hannes Pall,Palsson,+354 555-1495,+354 567-8194,+354 867-8748,HanPal,Framleidsludeild
Hans Benjaminsson,8683,almannatengill,Hafnarfirdi,Hans,Benjaminsson,+354 555-6271,+354 567-9903,+354 867-1386,HanBen,Framleidsludeild
Hans Gustafsson,6835,kerfisstjori,Reykjavik,Hans,Gustafsson,+354 555-8046,+354 567-9593,+354 867-1677,HanGus,Framleidsludeild
Hans Guttormur tormar,5625,framkvaemdastjori,Reykjavik,Hans Guttormur,tormar,+354 555-9197,+354 567-8532,+354 867-3345,Hantor,Framleidsludeild
Harald Sigurbjorn Holsvik,4228,vakt- og vardstjori hja Landhelgisgaeslu islands,Mosfellsbae,Harald Sigurbjorn,Holsvik,+354 555-8000,+354 567-8003,+354 867-1349,HarHol,Framleidsludeild
Haraldur arnason,9662,oryrki,Reykjavik,Haraldur,arnason,+354 555-5003,+354 567-8847,+354 867-6340,Hararn,Framleidsludeild
Haraldur Ingvarsson,3997,arkitekt,Kopavogi,Haraldur,Ingvarsson,+354 555-6040,+354 567-8818,+354 867-8049,HarIng,Framleidsludeild
Harpa Hronn Frankelsdottir,5548,stjornmalafraedingur,Reykjavik,Harpa Hronn,Frankelsdottir,+354 555-8975,+354 567-8740,+354 867-2034,HarFra,Framleidsludeild
Harpa Hauksdottir,6824,framkvaemdastjori,Reykjavik,Harpa,Hauksdottir,+354 555-6520,+354 567-8881,+354 867-1383,HarHau,Framleidsludeild
Haukur Arntorsson,4503,sjalfstaett starfandi serfraedingur,Reykjavik,Haukur,Arntorsson,+354 555-4462,+354 567-9495,+354 867-9250,HauArn,Framleidsludeild
Haukur Halldorsson,4085,bondi,Svalbardsstrandarhreppi,Haukur,Halldorsson,+354 555-9753,+354 567-9040,+354 867-8824,HauHal,Framleidsludeild
Haukur Mar Haraldsson,7902,framhaldsskolakennari,Reykjavik,Haukur Mar,Haraldsson,+354 555-5673,+354 567-8933,+354 867-7083,HauHar,Framleidsludeild
Haukur Nikulasson,8518,radgjafi,Reykjavik,Haukur,Nikulasson,+354 555-9326,+354 567-8413,+354 867-1651,HauNik,Framleidsludeild
Helga Baldvinsd. Bjargardottir,6879,troskatjalfi logfraedingur MA-nemi,Reykjavik,Helga Baldvinsd.,Bjargardottir,+354 555-6849,+354 567-9238,+354 867-5288,HelBja,Framleidsludeild
Helga Bjork Magnusdottir Gretudottir,7198,oryrki tonlistarkennari,Reykjavik,Helga Bjork,Magnusdottir Gretudottir,+354 555-8430,+354 567-8640,+354 867-5405,HelMag,Framleidsludeild
Helga Sigurjonsdottir,8496,tolvunarfraedingur,Seltjarnarnesi,Helga,Sigurjonsdottir,+354 555-8785,+354 567-8655,+354 867-8264,HelSig,Framleidsludeild
Helgi Helgason,2281,stjornmalafraedingur,Kopavogi,Helgi,Helgason,+354 555-4618,+354 567-9737,+354 867-5817,HelHel,Framleidsludeild
Herbert Snorrason,5284,student,isafjardarbae,Herbert,Snorrason,+354 555-3369,+354 567-9604,+354 867-7094,HerSno,Framleidsludeild
Herdis Drofn Baldvinsdottir,6384,verkefnastjori,Lancashire Bretlandi,Herdis Drofn,Baldvinsdottir,+354 555-5800,+354 567-8846,+354 867-8101,HerBal,Framleidsludeild
Hildigunnur Sverrisdottir,3238,arkitekt stundakennari vid LHi HR og Prisma,Reykjavik,Hildigunnur,Sverrisdottir,+354 555-7841,+354 567-8859,+354 867-7588,HilSve,Framleidsludeild
Hildur Bjorg Gunnarsdottir,7693,nemi,Seltjarnarnesi,Hildur Bjorg,Gunnarsdottir,+354 555-8410,+354 567-8304,+354 867-9592,HilGun,Framleidsludeild
Hildur yr isberg,9783,islenskunemi vid Haskola islands,Reykjavik,Hildur yr,isberg,+354 555-6674,+354 567-8383,+354 867-5369,Hilisb,Framleidsludeild
Hjalti Hrafn Haftorsson,6593,nemi,Reykjavik,Hjalti Hrafn,Haftorsson,+354 555-9128,+354 567-8470,+354 867-5735,HjaHaf,Framleidsludeild
Hjalti Hugason,7132,professor,Reykjavik,Hjalti,Hugason,+354 555-8001,+354 567-9740,+354 867-4745,HjaHug,Framleidsludeild
Hjalmtyr V. Heiddal,9376,kvikmyndagerdarmadur,Reykjavik,Hjalmtyr V.,Heiddal,+354 555-7930,+354 567-8759,+354 867-2097,HjaHei,Framleidsludeild
Hjortur Hjartarson,3304,kynningarstjori Stadlarads islands,Reykjavik,Hjortur,Hjartarson,+354 555-7353,+354 567-8251,+354 867-2113,HjoHja,Framleidsludeild
Hjortur Palsson,6604,ritofundur,Kopavogi,Hjortur,Palsson,+354 555-2207,+354 567-9873,+354 867-7553,HjoPal,Framleidsludeild
Hjortur Smarason,9618,radgjafi,Hafnarfirdi,Hjortur,Smarason,+354 555-4805,+354 567-9718,+354 867-1716,HjoSma,Framleidsludeild
Hjorvar Petursson,3502,liffraedingur,Tübingen tyskalandi,Hjorvar,Petursson,+354 555-6336,+354 567-9674,+354 867-4934,HjoPet,Framleidsludeild
Hlin Agnarsdottir,6109,ritofundur leikstjori,Reykjavik,Hlin,Agnarsdottir,+354 555-8342,+354 567-8080,+354 867-1902,HliAgn,Framleidsludeild
Hrafn Gunnlaugsson,9937,kvikmyndaleikstjori,Reykjavik,Hrafn,Gunnlaugsson,+354 555-6174,+354 567-8270,+354 867-6656,HraGun,Framleidsludeild
Hrafn Sveinbjarnarson,4173,skjalavordur,Reykjavik,Hrafn,Sveinbjarnarson,+354 555-2151,+354 567-9563,+354 867-2704,HraSve,Framleidsludeild
Hrefna Bryndis Jonsdottir,4074,framkvaemdastjori,Borgarbyggd,Hrefna Bryndis,Jonsdottir,+354 555-9875,+354 567-9932,+354 867-2888,HreJon,Framleidsludeild
Hreinn Palsson,2886,adalraedismadur islands i Sjanghae Kina,Reykjavik,Hreinn,Palsson,+354 555-6048,+354 567-9470,+354 867-6712,HrePal,Framleidsludeild
Hronn Kristinsdottir,2479,kvikmyndaframleidandi,Reykjavik,Hronn,Kristinsdottir,+354 555-3347,+354 567-8287,+354 867-4813,HroKri,Framleidsludeild
Hulda osp Atladottir,8452,i faedingarorlofi,Hafnarfirdi,Hulda osp,Atladottir,+354 555-6148,+354 567-8087,+354 867-1331,HulAtl,Framleidsludeild
Huni Heidar Hallsson,5713,logfraedingur,Akureyri,Huni Heidar,Hallsson,+354 555-6938,+354 567-8932,+354 867-8289,HunHal,Framleidsludeild
Ian Watson,5669,lektor,Reykjavik,Ian,Watson,+354 555-2684,+354 567-8539,+354 867-3343,IanWat,Framleidsludeild
Idunn Gudjonsdottir,9794,nemi rikisstarfsmadur,Reykjavik,Idunn,Gudjonsdottir,+354 555-2094,+354 567-8372,+354 867-6546,IduGud,Framleidsludeild
Illugi Jokulsson,9948,bladamadur,Reykjavik,Illugi,Jokulsson,+354 555-7155,+354 567-9810,+354 867-5956,IllJok,Framleidsludeild
Indro Indridi Candi,3964,arkitekt,Kopavogi,Indro Indridi,Candi,+354 555-3756,+354 567-9362,+354 867-3079,IndCan,Framleidsludeild
Inga Ros Baldursdottir,8573,vidskiptafraedingur B.Sc.,Reykjanesbae,Inga Ros,Baldursdottir,+354 555-3374,+354 567-9979,+354 867-8250,IngBal,Framleidsludeild
Inga Lind Karlsdottir,8749,fjolmidlamadur haskolanemi,Gardabae,Inga Lind,Karlsdottir,+354 555-7378,+354 567-9386,+354 867-3185,IngKar,Framleidsludeild
Inga Kristin Kjartansdottir,9651,serfraedingur,Reykjavik,Inga Kristin,Kjartansdottir,+354 555-5110,+354 567-8114,+354 867-4388,IngKja,Framleidsludeild
Inga Jona torisdottir,3106,heimavinnandi,Reykjavik,Inga Jona,torisdottir,+354 555-8453,+354 567-9425,+354 867-3940,Ingtor,Framleidsludeild
Ingi Baeringsson,9981,solumadur,Kopavogi,Ingi,Baeringsson,+354 555-4407,+354 567-9696,+354 867-7281,IngBaer,Framleidsludeild
Ingi Hans Jonsson,3392,forstodumadur,Grundarfjardarbae,Ingi Hans,Jonsson,+354 555-1091,+354 567-8627,+354 867-8116,IngJon,Framleidsludeild
Ingibjorg Danielsdottir,7253,tjonustufulltrui hja Vegagerdarinni,isafjardarbae,Ingibjorg,Danielsdottir,+354 555-1964,+354 567-9877,+354 867-5455,IngDan,Framleidsludeild
Ingibjorg Snorradottir Hagalin,8034,husmodir,isafjardarbae,Ingibjorg Snorradottir,Hagalin,+354 555-4069,+354 567-9597,+354 867-4713,IngHag,Framleidsludeild
iris Arnlaugsdottir,8859,stjornmalafraedingur,Reykjavik,iris,Arnlaugsdottir,+354 555-5086,+354 567-9033,+354 867-8608,iriArn,Framleidsludeild
iris Egilsdottir,4360,meistaranemi i logfraedi,Akureyri,iris,Egilsdottir,+354 555-9190,+354 567-8389,+354 867-8849,iriEgi,Framleidsludeild
iris Erlingsdottir,7968,fjolmidlafraedingur,Kopavogi,iris,Erlingsdottir,+354 555-9341,+354 567-9071,+354 867-4912,iriErl,Framleidsludeild
iris Lind Saemundsdottir,5108,logfraedingur,Reykjavik,iris Lind,Saemundsdottir,+354 555-5323,+354 567-9135,+354 867-4863,iriSaem,Framleidsludeild
iris torarinsdottir,7231,grunnskolakennari,Reykjanesbae,iris,torarinsdottir,+354 555-1443,+354 567-9075,+354 867-8575,iritor,Framleidsludeild
isleifur Fridriksson,8331,tusundtjalasmidur rekstrarfulltrui hja iTR,Seltjarnarnesi,isleifur,Fridriksson,+354 555-9073,+354 567-8245,+354 867-6509,islFri,Framleidsludeild
Jakobina Ingunn olafsdottir,7319,stjornsyslufraedingur,Reykjavik,Jakobina Ingunn,olafsdottir,+354 555-7551,+354 567-9391,+354 867-3615,Jakola,Framleidsludeild
Jakobina Edda Sigurdardottir,4525,framkvaemdastjori sjukratjalfari,Reykjavik,Jakobina Edda,Sigurdardottir,+354 555-1658,+354 567-9230,+354 867-4134,JakSig,Framleidsludeild
Jan Eric Jessen,7165,namsmadur,Akureyri,Jan Eric,Jessen,+354 555-9803,+354 567-8013,+354 867-4003,JanJes,Framleidsludeild
Johann Runar Bjorgvinsson,5889,hagfraedingur,Reykjavik,Johann Runar,Bjorgvinsson,+354 555-7030,+354 567-8802,+354 867-2876,JohBjo,Framleidsludeild
Johann Gunnarsson,8562,fv. skipstjori,Akureyri,Johann,Gunnarsson,+354 555-4877,+354 567-9212,+354 867-6963,JohGun,Framleidsludeild
Johann Halldorsson,5801,haestarettarlogmadur,Gardabae,Johann,Halldorsson,+354 555-2325,+354 567-9024,+354 867-3466,JohHal,Framleidsludeild
Johann Johannsson,9728,,Reykjavik,Johann,Johannsson,+354 555-5786,+354 567-9331,+354 867-8597,JohJoh,Framleidsludeild
Johann olafsson,8265,kerfisfraedingur,Reykjavik,Johann,olafsson,+354 555-3296,+354 567-9686,+354 867-1616,Johola,Framleidsludeild
Johann Hjalti torsteinsson,2149,sagnfraedingur,Fljotsdalshreppi,Johann Hjalti,torsteinsson,+354 555-3288,+354 567-9602,+354 867-6351,Johtor,Framleidsludeild
Johanna Gudmundsdottir,5317,loggiltur fasteignasali,Reykjanesbae,Johanna,Gudmundsdottir,+354 555-5864,+354 567-9629,+354 867-8003,JohGud,Framleidsludeild
Johanna Heiddal Sigurdardottir,3425,B.Sc. vidskiptalogfraedi,Kopavogi,Johanna Heiddal,Sigurdardottir,+354 555-9347,+354 567-9823,+354 867-8720,JohSig,Framleidsludeild
Johannes Jonsson,7605,nemi,Reykjavik,Johannes,Jonsson,+354 555-6791,+354 567-9399,+354 867-9200,JohJon,Framleidsludeild
Johannes tor Skulason,8419,grunnskolakennari,Hafnarfirdi,Johannes tor,Skulason,+354 555-7572,+354 567-9655,+354 867-2380,JohSku,Framleidsludeild
Jon Gunnar Benjaminsson,7385,frumkvodull,Eyjafjardarsveit,Jon Gunnar,Benjaminsson,+354 555-1063,+354 567-9994,+354 867-2200,JonBen,Framleidsludeild
Jon Bjarni Bjarnason,5394,kennari marktjalfi,Hafnarfirdi,Jon Bjarni,Bjarnason,+354 555-7564,+354 567-9201,+354 867-7930,JonBBja,Framleidsludeild
Jon Josef Bjarnason,5042,radgjafi,Mosfellsbae,Jon Josef,Bjarnason,+354 555-1974,+354 567-9926,+354 867-6030,JonJBja,Framleidsludeild
Jon Benedikt Bjornsson,8243,salfraedingur ritofundur,Kopavogi,Jon Benedikt,Bjornsson,+354 555-8674,+354 567-9295,+354 867-4031,JonBjo,Framleidsludeild
Jon Einar Haraldsson,2182,kennari namsradgjafi,Akureyri,Jon Einar,Haraldsson,+354 555-3741,+354 567-8297,+354 867-4872,JonHar,Framleidsludeild
Jon torvaldur Heidarsson,6538,lektor,Akureyri,Jon torvaldur,Heidarsson,+354 555-9736,+354 567-8298,+354 867-1551,JonHei,Framleidsludeild
Jon Valur Jensson,8804,gudfraedingur profarkalesari,Reykjavik,Jon Valur,Jensson,+354 555-9511,+354 567-9352,+354 867-2448,JonJen,Framleidsludeild
Jon Bjarni Jonsson,2094,framkvaemdastjori,Gardabae,Jon Bjarni,Jonsson,+354 555-2095,+354 567-8237,+354 867-9370,JonBJon,Framleidsludeild
Jon toroddur Jonsson,5416,fjarskiptaverkfraedingur,Reykjavik,Jon toroddur,Jonsson,+354 555-8313,+354 567-9697,+354 867-4360,JonJon,Framleidsludeild
Jon Hermann Karlsson,6296,vidskiptafraedingur,Reykjavik,Jon Hermann,Karlsson,+354 555-3974,+354 567-8118,+354 867-9525,JonKar,Framleidsludeild
Jon Petur Lindal,6791,verktaki,Skorradalshreppi,Jon Petur,Lindal,+354 555-9956,+354 567-9569,+354 867-6236,JonLin,Framleidsludeild
Jon olafsson,7671,professor,Reykjavik,Jon,olafsson,+354 555-5964,+354 567-9015,+354 867-2115,Jonola,Framleidsludeild
Jon Palmar Ragnarsson,2446,stjornmalafraedingur,Baejarhreppi,Jon Palmar,Ragnarsson,+354 555-8428,+354 567-9588,+354 867-5298,JonRag,Framleidsludeild
Jon torsteinn Sigurdsson,3216,troskatjalfanemi,Seltjarnarnesi,Jon torsteinn,Sigurdsson,+354 555-2598,+354 567-9199,+354 867-8269,JonSig,Framleidsludeild
Jon Axel Svavarsson,9959,nemi,Akranesi,Jon Axel,Svavarsson,+354 555-9375,+354 567-9827,+354 867-7064,JonSva,Framleidsludeild
Jon Steindor Valdimarsson,2314,logfraedingur,Reykjavik,Jon Steindor,Valdimarsson,+354 555-7223,+354 567-8514,+354 867-2911,JonVal,Framleidsludeild
Jon tor torgeirsson,9475,vidskiptafraedingur verkfraedingur,Kopavogi,Jon tor,torgeirsson,+354 555-8410,+354 567-8776,+354 867-8767,Jontor,Framleidsludeild
Jona Solveig Elinardottir,4217,meistaranemi i altjodasamskiptum,Reykjavik,Jona Solveig,Elinardottir,+354 555-5275,+354 567-9751,+354 867-6303,JonEli,Framleidsludeild
Jonas Petur Hreinsson,7154,idnrekstrarfraedingur,Reykjavik,Jonas Petur,Hreinsson,+354 555-3228,+354 567-9700,+354 867-9248,JonHre,Framleidsludeild
Jonas Kristjansson,9915,ritstjori,Seltjarnarnesi,Jonas,Kristjansson,+354 555-4157,+354 567-9719,+354 867-9225,JonKri,Framleidsludeild
Jonas Tryggvason,4129,framkvaemdastjori,Reykjavik,Jonas,Tryggvason,+354 555-8367,+354 567-8465,+354 867-9492,JonTry,Framleidsludeild
Jonina Bjartmarz,8287,logfraedingur atafnakona,Reykjavik,Jonina,Bjartmarz,+354 555-5283,+354 567-8565,+354 867-3406,JonBja,Framleidsludeild
Jonina olafsdottir,4624,landfraedingur,Reykjavik,Jonina,olafsdottir,+354 555-4594,+354 567-9958,+354 867-7325,Joniola,Framleidsludeild
Jorunn Edda Helgadottir,3205,meistaranemi i altjoda- og samanburdarlogfraedi,Reykjavik,Jorunn Edda,Helgadottir,+354 555-9532,+354 567-8875,+354 867-2220,JorHel,Framleidsludeild
Juliana Gudmundsdottir,6637,verkefnisstjori,Reykjavik,Juliana,Gudmundsdottir,+354 555-5215,+354 567-9402,+354 867-9979,JulGud,Framleidsludeild
Julius Solnes,8782,verkfraedingur,Reykjavik,Julius,Solnes,+354 555-4689,+354 567-9646,+354 867-8175,JulSol,Framleidsludeild
Jokull Arngeir Gudmundsson,2578,eldri borgari malmidnadarmadur,Akureyri,Jokull Arngeir,Gudmundsson,+354 555-8220,+354 567-9666,+354 867-3843,JokGud,Framleidsludeild
Jormundur Ingi Hansen,3414,Reykjavikurgodi,Reykjavik,Jormundur Ingi,Hansen,+354 555-5428,+354 567-9459,+354 867-6037,JorHan,Framleidsludeild
Karen Elisabet Halldorsdottir,6615,varabaejarfulltrui i Kopavogi,Kopavogi,Karen Elisabet,Halldorsdottir,+354 555-8515,+354 567-8924,+354 867-7351,KarHal,Framleidsludeild
Karl Larus Hjaltested,2523,hafnarvordur,Reykjavik,Karl Larus,Hjaltested,+354 555-2275,+354 567-8724,+354 867-2400,KarHja,Framleidsludeild
Katrin Fjeldsted,7715,laeknir,Reykjavik,Katrin,Fjeldsted,+354 555-9786,+354 567-9932,+354 867-4974,KatFje,Framleidsludeild
Katrin Oddsdottir,8463,logfraedingur,Reykjavik,Katrin,Oddsdottir,+354 555-6490,+354 567-8782,+354 867-2535,KatOdd,Framleidsludeild
Katrin Sigurdardottir,5691,geislafraedingur formadur Felags geislafraedinga,Mosfellsbae,Katrin,Sigurdardottir,+354 555-4358,+354 567-8307,+354 867-3288,KatSig,Framleidsludeild
Kari Allansson,9145,tonlistarmadur nemi,Reykjavik,Kari,Allansson,+354 555-2413,+354 567-9968,+354 867-9815,KarAll,Framleidsludeild
Kjartan Hjorvar,4272,fjarskiptaverkfraedingur,Reykjavik,Kjartan,Hjorvar,+354 555-9919,+354 567-8077,+354 867-7226,KjaHjo,Framleidsludeild
Kjartan Jonsson,9387,tydandi framkvaemdastjori Multikulti,Reykjavik,Kjartan,Jonsson,+354 555-8212,+354 567-8701,+354 867-8242,KjaJon,Framleidsludeild
Kjartan Ragnarsson,3667,forstodumadur,Borgarbyggd,Kjartan,Ragnarsson,+354 555-8940,+354 567-9591,+354 867-1899,KjaRag,Framleidsludeild
Kjartan tor Ragnarsson,6802,framhaldsskolakennari,Reykjavik,Kjartan tor,Ragnarsson,+354 555-2317,+354 567-9421,+354 867-7097,KjatRag,Framleidsludeild
Kjartan Sigurgeirsson,4998,kerfisfraedingur,Kopavogi,Kjartan,Sigurgeirsson,+354 555-5581,+354 567-8622,+354 867-8177,KjaSig,Framleidsludeild
Kolbeinn Adalsteinsson,7143,liftaeknifraedingur gaedastjori,Fjallabyggd,Kolbeinn,Adalsteinsson,+354 555-6103,+354 567-8056,+354 867-5509,KolAda,Framleidsludeild
Kolbrun Baldursdottir,4712,salfraedingur,Reykjavik,Kolbrun,Baldursdottir,+354 555-2611,+354 567-9319,+354 867-6940,KolBal,Framleidsludeild
Kolbrun Anna Bjornsdottir,2204,leikari kennari hofundur,Kopavogi,Kolbrun Anna,Bjornsdottir,+354 555-5001,+354 567-9063,+354 867-3296,KolBjo,Framleidsludeild
Kolbrun Karlsdottir,4756,heimavinnandi,Svf. arborg,Kolbrun,Karlsdottir,+354 555-9588,+354 567-9290,+354 867-4368,KolKar,Framleidsludeild
Kristbjorg torisdottir,6582,kandidatsnemi i salfraedi,Mosfellsbae,Kristbjorg,torisdottir,+354 555-7346,+354 567-9652,+354 867-8652,Kritor,Framleidsludeild
Kristbjorn Helgi Bjornsson,4536,sagnfraedingur,Hafnarfirdi,Kristbjorn Helgi,Bjornsson,+354 555-8586,+354 567-8840,+354 867-1313,KriBjo,Framleidsludeild
Kristinn Dagur Gissurarson,7847,milli starfa,Kopavogi,Kristinn Dagur,Gissurarson,+354 555-7779,+354 567-8135,+354 867-6431,KriGis,Framleidsludeild
Kristinn Hannesson,5493,rafvirki,Reykjavik,Kristinn,Hannesson,+354 555-6901,+354 567-9688,+354 867-7448,KriHan,Framleidsludeild
